img_name,tnbc,CAF,firstorder_Mean,firstorder_StandardDeviation,firstorder_Skewness,firstorder_Kurtosis,firstorder_Entropy,firstorder_Minimum,firstorder_Maximum,firstorder_Median,firstorder_InterquartileRange,firstorder_Range,shape2D_MeshSurface,shape2D_PixelSurface,shape2D_Perimeter,shape2D_PerimeterSurfaceRatio,shape2D_Sphericity,shape2D_SphericalDisproportion,shape2D_MaximumDiameter,shape2D_MajorAxisLength,shape2D_MinorAxisLength,shape2D_Elongation,glcm_JointEnergy,glcm_Contrast,glcm_Correlation,glcm_SumSquares,glcm_SumAverage,glcm_JointEntropy,glcm_DifferenceVariance,glcm_DifferenceEntropy,glcm_DifferenceAverage,glcm_Imc1,glcm_Imc2,glcm_Autocorrelation,glcm_ClusterShade,glcm_ClusterProminence,glcm_MaximumProbability,glcm_InverseVariance
segment_0,1,0,123.2297297,42.64341377,-1.6202025,4.80173019,2.28916843,0,177,136,37.25,177,95.5,148,382.9848481,4.01031255,0.090453427,11.05541309,316.268873,235.3592833,208.5149894,0.885943339,0.65291454,0.13690476,0.93994915,1.40824724,8.89404762,1.16766558,0.10448554,0.468895,0.13690476,-0.49678123,0.59199706,27.0702381,-37.59005312,368.8897855,0.71071429,0.13690476
segment_1,1,0,121.7071429,40.93889112,-1.31991952,3.84822772,2.32374632,3,174,139,46,171,86.5,140,368.6417024,4.26175378,0.089435208,11.18127882,288.4995667,278.169022,189.229249,0.680267154,0.30539448,0.33589744,0.39444444,0.76121795,11.83333333,2.00977285,0.20767258,0.87080658,0.33589744,-0.37329737,0.69772874,36.03076923,-4,45.10801282,0.42820513,0.33589744
segment_10,1,0,88.77391304,24.34322006,-1.11006741,4.18328734,1.9119067,2,127,95,35,125,71.5,115,302.0731599,4.22479944,0.099230645,10.07753199,322.3864141,374.1609936,170.0270937,0.454422285,0.47629686,0.38368984,0.38873106,0.43706747,8.33823529,1.53283853,0.09428351,0.40517645,0.38368984,-0.46839764,0.65240672,18.4184492,-1.27134874,9.48985176,0.5394385,0.38368984
segment_100,1,1,78.03389831,41.28875831,-0.53240745,2.01325346,2.37408887,0,147,89.5,68,147,69.5,118,316.3574311,4.55190548,0.093415576,10.70485295,362.6265296,372.7382595,256.7756241,0.688889905,0.33972222,0.31666667,0.50141243,1.36736111,8.08333333,1.8122615,0.17388889,0.70916019,0.31666667,-0.55121903,0.78105344,17.94166667,0.32962963,59.82939815,0.44166667,0.31666667
segment_101,1,1,65.53571429,37.93950273,-0.16797274,1.74946541,2.44724978,1,133,68,67,132,86,140,369.4701295,4.2961643,0.088976399,11.2389354,358.7338847,371.6421437,244.9928268,0.659217021,0.27869898,0.67857143,0.22644,1.59895833,5.41666667,2.2305608,0.13052721,0.5581329,0.67857143,-0.77053845,0.95443582,9.53571429,6.41517857,88.86067708,0.36904762,0.67857143
segment_102,1,1,69.43065693,34.76318121,-0.30367971,1.9450653,2.36622988,0,131,74,59,131,80.5,137,367.6122651,4.56661199,0.086519277,11.55811791,353.035409,363.4421214,244.2913486,0.672160254,0.435625,1.225,0.09545261,1.1178125,5.075,1.4672489,0.14125,0.60527961,0.725,-0.73424793,0.82720547,7.5875,4.356,44.90319062,0.55,0.2875
segment_103,1,1,86.02439024,32.52727771,-1.09293061,3.6618558,2.10850273,0,151,96,30,151,76.5,123,323.0437226,4.22279376,0.095978585,10.41899085,346.8976794,380.0497417,281.1590016,0.739795271,0.31099346,0.65909091,0.20475946,0.87689394,9.16666667,2.09664303,0.12103994,0.52816827,0.65909091,-0.72168719,0.93591689,21.65151515,-3.90909091,41.83143939,0.40151515,0.65909091
segment_104,1,1,74.76595745,31.10258439,-1.01177183,3.03159229,2.1251298,0,127,85,36.5,127,119,188,490.3229432,4.12036087,0.078867159,12.67954889,345.2593228,411.6895235,294.0732567,0.714308332,0.51236778,0.14699074,0.86977742,0.62203314,7.62615741,1.64402458,0.11457931,0.50736099,0.14699074,-0.32674353,0.58208354,15.11342593,-4.53011969,33.78918488,0.61458333,0.14699074
segment_105,1,1,86.04968944,32.15776352,-1.23017422,4.33670404,2.11687215,0,161,95,29,161,107.5,161,410.6417024,3.81992281,0.089504756,11.17259066,336.0297606,393.2183253,301.6688083,0.767178915,0.31799769,0.54166667,0.16713064,0.61476273,9.325,1.96437586,0.14293981,0.59638677,0.54166667,-0.58739839,0.85741356,22.46666667,-5.55619097,40.65911959,0.40277778,0.54166667
segment_106,1,1,81.34567901,32.44203206,-0.98583881,2.84077985,2.12338166,0,130,96,40.5,130,98.5,162,429.2102448,4.35746441,0.081969629,12.19964048,347.6348659,391.0543992,287.7766363,0.735899243,0.46518626,0.15646853,0.93209729,0.69976451,7.19493007,1.66702492,0.10748998,0.44822123,0.15646853,-0.49836017,0.6896735,14.50611888,-5.06393827,36.50523335,0.53933566,0.15646853
segment_107,1,1,74.06896552,34.10777142,-0.64428871,2.29105724,2.31529582,0,127,82,53.5,127,109,174,455.6955262,4.1806929,0.08121634,12.31279316,343.5825956,378.5333814,328.3696932,0.867478826,0.3703893,0.63664596,-0.04088191,1.04357953,6.7173913,1.74705423,0.09922457,0.42279407,0.63664596,-0.77544439,0.92568383,13.29968944,-11.89619462,85.45687117,0.45600414,0.63664596
segment_108,1,1,76.87150838,35.40113661,-0.61540405,2.35868677,2.21679923,1,134,83,51.5,133,114.5,179,464.8670991,4.05997466,0.081597878,12.25522065,347.0014409,370.213368,350.1418017,0.945783788,0.46182693,0.50487013,0.42065903,0.92115555,7.02272727,1.76431567,0.17196197,0.53839574,0.44642857,-0.46965067,0.68288455,13.34821429,-4.77242541,48.3763273,0.53003247,0.39529221
segment_109,1,1,82.15037594,33.5775382,-1.02041562,2.94923437,2.09352457,1,126,94,48,125,77,133,358.783838,4.65953036,0.086699666,11.53406984,352.4826237,384.3576325,313.7309416,0.816247461,0.33104455,0.18382353,0.81170455,1.20217885,8.00735294,2.0208101,0.14565311,0.66691875,0.18382353,-0.73198567,0.94071627,17.15441176,-10.25551153,80.97096663,0.51470588,0.18382353
segment_11,1,0,91.47887324,27.53070458,-1.08231362,4.1887672,2.06706703,2,134,95,38.5,132,90,142,370.156421,4.11284912,0.09085334,11.00674996,319.0376153,340.0385,223.2320446,0.656490499,0.26076594,0.25641026,0.68039901,0.62868453,8.84188034,2.26396556,0.18595222,0.80289231,0.25641026,-0.42307039,0.74951461,20.07905983,-2.44936417,21.74823896,0.37820513,0.25641026
segment_110,1,1,83.40606061,33.60229014,-1.17914758,3.40278732,2.02897401,0,127,94,41,127,106,165,427.7544007,4.03541887,0.085322462,11.72024315,344.6113753,394.4884041,326.855501,0.828555409,0.24651973,0.34586466,0.87341462,1.35989881,7.9887218,2.53964919,0.2704223,0.88892366,0.27443609,-0.61115995,0.94304995,17.16071429,-11.10831325,73.69970424,0.38909774,0.21193609
segment_111,0,0,75.65289256,36.85502326,-0.60455463,2.10965566,2.30863846,3,130,86,57,127,69,121,328.156421,4.75589016,0.089732253,11.14426496,389.7601827,414.5194314,323.2299365,0.779770288,0.49414866,0.26851852,0.88582487,0.76157407,5.83333333,1.58423843,0.14480453,0.60078473,0.26851852,-0.4480359,0.63344501,11.06481481,-0.70833333,19.3125,0.57407407,0.26851852
segment_112,0,0,79.86131387,34.96133056,-0.58855796,2.43881536,2.35753535,0,138,89,51,138,83.5,137,362.6417024,4.3430144,0.089324465,11.19514119,392.5633707,469.4576675,349.2567964,0.743958019,0.1724537,1.16666667,0.30164027,1.40483539,7.48148148,2.80001401,0.2962963,1.06632265,0.77777778,-0.58786152,0.94435813,14.81481481,-2.08653406,53.34867017,0.24074074,0.4375
segment_113,0,0,73.86451613,35.9496202,-0.48127107,2.09930537,2.35873858,0,143,85,56,143,94,155,411.0681092,4.37306499,0.083609394,11.96037858,405.2024186,442.2638445,335.6011477,0.758825647,0.44369835,0.18181818,0.93993507,1.67458678,6.40909091,1.81347501,0.11570248,0.47283015,0.18181818,-0.50543503,0.69508658,13.04545455,3.162284,88.80599003,0.5,0.18181818
